Date,Open,High,Low,Close,Volume,Adj Close
2011-09-15,2200.00,2214.00,2185.00,2202.75,47000,1946.62
2011-09-14,2200.00,2212.00,2169.30,2201.60,63200,1945.61
2011-09-13,2210.00,2230.00,2190.15,2205.60,66800,1949.14
2011-09-12,2213.00,2231.00,2185.00,2209.25,49200,1952.37
2011-09-09,2168.00,2231.70,2156.20,2215.10,103700,1957.54
2011-09-08,2175.00,2184.90,2146.00,2170.60,34200,1918.21
2011-09-07,2175.00,2187.90,2133.00,2167.60,66100,1915.56
2011-09-06,2184.00,2206.00,2153.00,2167.50,87900,1915.47
2011-09-05,2050.00,2183.40,2050.00,2174.35,157500,1921.53
2011-09-02,2080.00,2120.80,2051.65,2067.65,52600,1827.23
2011-08-30,1985.00,2064.70,1984.80,2047.85,91300,1809.74
2011-08-29,1962.00,1998.60,1937.00,1977.20,57400,1747.30
2011-08-26,1913.50,1970.00,1878.00,1952.45,68100,1725.43
2011-08-25,1949.00,1974.00,1866.00,1901.05,47200,1680.01
2011-08-24,1984.00,1990.60,1953.00,1961.85,35400,1702.81
2011-08-23,2010.00,2013.40,1975.25,1994.00,31100,1730.71
2011-08-22,1993.70,2022.85,1988.00,2005.95,56900,1741.08
2011-08-19,1930.00,2003.90,1924.55,1993.65,74400,1730.41
2011-08-18,1937.85,1960.00,1937.85,1950.90,40400,1693.30
2011-08-17,1900.00,1952.00,1900.00,1937.85,95900,1681.97
2011-08-16,1890.00,1919.00,1878.85,1885.15,17000,1636.23
2011-08-12,1855.00,1914.85,1855.00,1890.80,47500,1641.14
2011-08-11,1860.15,1882.70,1852.00,1857.60,28000,1612.32
2011-08-10,1870.00,1885.00,1846.15,1876.60,57000,1628.81
2011-08-09,1800.00,1877.35,1798.75,1855.50,42000,1610.50
2011-08-08,1774.00,1864.00,1705.20,1855.95,37400,1610.89
2011-08-05,1770.00,1800.00,1759.00,1784.00,39200,1548.44
2011-08-04,1795.00,1830.00,1787.90,1797.00,11400,1559.72
2011-08-03,1794.90,1822.00,1772.00,1804.45,23900,1566.19
2011-08-02,1797.00,1818.00,1775.00,1805.50,13700,1567.10
2011-08-01,1790.00,1809.00,1761.00,1798.00,14300,1560.59
2011-07-29,1813.00,1815.50,1775.00,1787.20,29200,1551.22
2011-07-28,1782.00,1839.00,1780.00,1822.05,43800,1581.46
2011-07-27,1825.00,1827.00,1780.10,1802.15,30900,1564.19
2011-07-26,1825.00,1847.70,1806.60,1818.25,33500,1578.17
2011-07-25,1824.50,1829.00,1807.00,1824.25,22100,1583.37
2011-07-22,1795.00,1823.50,1789.00,1817.25,61700,1577.30
2011-07-21,1754.00,1800.65,1732.00,1788.85,222800,1552.65
2011-07-20,1808.00,1808.00,1753.00,1761.15,45700,1528.61
2011-07-19,1820.00,1823.00,1792.00,1795.35,25800,1558.29
2011-07-18,1839.00,1839.00,1811.00,1817.55,60600,1577.56
2011-07-15,1782.25,1862.95,1782.25,1829.00,30900,1587.50
2011-07-14,1874.90,1874.90,1848.00,1852.80,25000,1608.15
2011-07-13,1869.00,1885.00,1867.10,1877.50,13900,1629.59
2011-07-12,1881.90,1892.00,1848.00,1862.10,25500,1616.23
2011-07-11,1900.00,1924.00,1880.00,1891.40,35200,1641.66
2011-07-08,1889.00,1919.00,1886.00,1900.55,56900,1649.60
2011-07-07,1873.00,1885.00,1870.00,1881.55,29400,1633.11
2011-07-06,1883.00,1894.00,1858.60,1866.60,188300,1620.13
2011-07-05,1890.00,1904.35,1875.20,1897.50,25800,1646.95
2011-07-04,1910.00,1919.95,1881.00,1890.65,33600,1641.01
2011-07-01,1880.00,1903.00,1880.00,1897.45,46100,1646.91
2011-06-30,1855.00,1886.00,1845.00,1877.75,58100,1629.81
2011-06-29,1850.00,1878.90,1842.00,1847.55,46000,1603.60
2011-06-28,1856.00,1864.95,1836.10,1846.40,36400,1602.60
2011-06-27,1820.00,1865.00,1820.00,1852.05,43900,1607.50
2011-06-24,1760.00,1870.00,1760.00,1866.15,128400,1619.74
2011-06-23,1733.10,1765.00,1719.00,1759.35,52300,1527.04
2011-06-22,1770.00,1776.40,1725.00,1744.65,27800,1514.28
2011-06-21,1750.00,1777.10,1740.00,1759.80,31700,1527.43
2011-06-20,1735.00,1752.00,1732.00,1735.60,24100,1506.43
2011-06-17,1735.00,1744.00,1725.15,1730.30,13600,1501.83
2011-06-16,1726.00,1753.05,1726.00,1737.00,18100,1507.64
2011-06-15,1730.00,1754.00,1727.50,1745.85,19000,1515.33
2011-06-14,1736.00,1755.50,1732.50,1736.60,22700,1507.30
2011-06-13,1717.00,1748.00,1708.50,1735.85,51700,1506.65
2011-06-10,1753.90,1755.30,1717.10,1723.95,257500,1496.32
2011-06-09,1762.50,1785.95,1740.00,1745.40,80100,1514.94
2011-06-08,1825.90,1829.00,1759.95,1768.25,74600,1534.77
2011-06-07,1842.50,1856.75,1830.00,1834.25,43000,1592.05
2011-06-06,1850.00,1865.00,1837.00,1857.95,18700,1612.62
2011-06-03,1854.00,1880.00,1850.05,1858.80,24800,1613.36
2011-06-02,1826.00,1888.00,1826.00,1871.15,69000,1624.08
2011-06-01,1859.00,1874.80,1848.05,1861.25,29000,1615.49
2011-05-31,1848.80,1867.00,1840.00,1853.15,26800,1608.46
2011-05-30,1850.15,1870.00,1832.80,1842.55,33000,1599.26
2011-05-27,1870.00,1892.10,1836.45,1857.50,63400,1612.23
2011-05-26,1816.00,1932.00,1801.00,1873.00,107000,1625.69
2011-05-25,1800.00,1823.45,1780.00,1801.50,50700,1563.63
2011-05-24,1796.00,1826.00,1776.00,1812.05,59000,1572.78
2011-05-23,1791.00,1804.70,1761.00,1788.20,41600,1552.08
2011-05-20,1795.00,1835.00,1775.30,1808.15,58500,1569.40
2011-05-19,1826.00,1840.40,1790.50,1794.20,50900,1557.29
2011-05-18,1800.20,1852.35,1800.20,1836.55,92100,1594.05
2011-05-17,1860.00,1862.00,1792.20,1801.75,95900,1563.84
2011-05-16,1770.00,1885.00,1762.00,1864.95,159400,1618.70
2011-05-13,1753.00,1808.00,1753.00,1795.50,71700,1558.42
2011-05-12,1766.00,1789.00,1744.90,1752.10,62700,1520.75
2011-05-11,1721.00,1797.90,1721.00,1776.85,135400,1542.23
2011-05-10,1722.00,1758.40,1712.05,1719.85,65300,1492.76
2011-05-09,1756.90,1763.90,1727.10,1741.80,48700,1511.81
2011-05-06,1696.00,1780.00,1670.00,1764.65,160200,1531.64
2011-05-05,1598.00,1712.00,1590.00,1697.90,255300,1473.71
2011-05-04,1649.00,1649.00,1577.00,1600.10,165500,1388.82
2011-05-03,1694.00,1707.00,1652.00,1660.45,41400,1441.20
2011-05-02,1715.00,1720.00,1685.40,1692.00,50000,1468.59
2011-04-29,1680.00,1727.00,1649.95,1709.65,108800,1483.91
2011-04-28,1760.00,1760.00,1685.00,1696.10,40400,1472.14
2011-04-27,1779.00,1796.15,1735.00,1741.65,45000,1511.68
2011-04-26,1772.00,1792.90,1755.00,1771.30,42100,1537.42
2011-04-25,1790.00,1799.95,1767.00,1775.00,38300,1540.63
2011-04-21,1750.00,1799.20,1750.00,1786.05,91300,1550.22
2011-04-20,1722.00,1770.00,1703.00,1743.95,116100,1513.68
2011-04-19,1863.75,1883.15,1770.00,1777.20,252200,1481.78
2011-04-18,1835.00,1945.25,1815.25,1863.75,360100,1553.94
2011-04-15,1750.00,1848.00,1744.70,1830.85,150000,1526.51
2011-04-13,1647.00,1770.00,1628.00,1735.10,169000,1446.68
2011-04-11,1660.00,1660.00,1628.30,1639.10,41500,1366.64
2011-04-08,1686.10,1691.00,1657.00,1663.50,41000,1386.98
2011-04-07,1681.90,1707.00,1677.45,1694.65,38400,1412.95
2011-04-06,1648.00,1693.80,1648.00,1681.75,51600,1402.20
2011-04-05,1628.80,1654.80,1618.65,1645.15,47400,1371.68
2011-04-04,1629.75,1638.10,1605.25,1618.30,50300,1349.29
2011-04-01,1600.00,1633.00,1594.00,1602.65,42800,1336.24
2011-03-31,1557.00,1615.00,1557.00,1586.55,96400,1322.82
2011-03-30,1552.00,1573.55,1546.50,1551.95,34200,1293.97
2011-03-29,1511.00,1581.70,1511.00,1546.35,149600,1289.30
2011-03-28,1477.00,1509.70,1477.00,1500.95,35800,1251.45
2011-03-25,1483.00,1496.00,1473.10,1490.50,176900,1242.74
2011-03-24,1455.00,1483.00,1455.00,1475.70,35500,1230.40
2011-03-23,1454.90,1465.00,1446.00,1451.50,34700,1210.22
2011-03-22,1451.80,1453.75,1416.00,1441.50,48300,1201.88
2011-03-21,1483.05,1492.95,1423.30,1433.75,42000,1195.42
2011-03-18,1516.10,1528.90,1461.50,1474.15,39400,1229.10
2011-03-17,1519.75,1529.70,1501.60,1509.70,21900,1258.75
2011-03-16,1530.00,1530.00,1509.00,1517.45,36900,1265.21
2011-03-15,1500.00,1538.05,1490.00,1520.75,38800,1267.96
2011-03-14,1525.00,1542.10,1507.05,1531.15,40400,1276.63
2011-03-11,1537.00,1555.20,1525.05,1532.05,68800,1277.38
2011-03-10,1531.40,1576.20,1521.20,1537.75,153100,1282.13
2011-03-09,1511.00,1543.90,1490.60,1533.45,120500,1278.55
2011-03-08,1539.00,1545.00,1472.00,1518.15,232200,1265.79
2011-03-07,1515.05,1547.00,1515.00,1529.90,71600,1275.59
2011-03-04,1518.45,1555.00,1510.00,1534.45,308200,1279.38
2011-03-03,1499.75,1515.00,1482.15,1502.15,67800,1252.45
2011-03-01,1480.00,1509.00,1475.10,1492.60,54700,1244.49
2011-02-28,1499.00,1530.75,1444.20,1464.95,129500,1221.43
2011-02-25,1507.00,1510.00,1452.00,1500.35,153100,1250.95
2011-02-24,1491.00,1521.60,1466.00,1490.45,175400,1242.70
2011-02-23,1379.00,1499.00,1377.95,1466.85,158100,1223.02
2011-02-22,1434.00,1434.00,1380.05,1391.05,97200,1159.82
2011-02-21,1480.00,1480.00,1420.00,1439.35,43100,1200.09
2011-02-18,1510.00,1525.00,1455.50,1463.65,42800,1220.35
2011-02-17,1494.00,1511.00,1484.00,1498.45,34000,1249.37
2011-02-16,1516.00,1532.00,1486.10,1494.45,33300,1246.03
2011-02-15,1540.00,1545.00,1501.00,1515.85,45800,1263.87
2011-02-14,1498.00,1540.00,1488.85,1528.25,63100,1274.21
2011-02-11,1450.00,1494.00,1440.00,1472.40,34000,1227.65
2011-02-10,1440.20,1484.00,1435.50,1452.15,32100,1210.76
2011-02-09,1525.00,1525.00,1412.20,1439.65,113400,1200.34
2011-02-08,1580.00,1585.50,1503.40,1513.15,47000,1261.62
2011-02-07,1545.00,1592.00,1543.45,1577.15,120900,1314.98
2011-02-04,1560.00,1583.00,1521.00,1534.90,287600,1279.76
2011-02-03,1517.00,1577.80,1506.55,1565.50,192200,1305.27
2011-02-02,1609.95,1633.00,1500.10,1523.05,378700,1269.88
2011-02-01,1656.00,1656.00,1592.20,1607.75,28000,1340.50
2011-01-31,1652.00,1652.00,1593.10,1630.50,28000,1359.47
2011-01-28,1728.65,1728.65,1642.00,1657.45,37000,1381.94
2011-01-27,1784.00,1785.00,1682.30,1724.05,19700,1437.46
2011-01-26,1778.50,1778.50,1778.50,1778.50,000,1482.86
2011-01-25,1750.00,1789.90,1750.00,1778.50,24800,1482.86
2011-01-24,1760.00,1767.95,1742.00,1750.15,25400,1459.23
2011-01-21,1785.00,1785.00,1746.20,1756.00,19900,1464.10
2011-01-20,1775.00,1803.00,1755.15,1772.20,25500,1477.61
2011-01-19,1788.00,1808.20,1750.00,1762.65,31800,1469.65
2011-01-18,1792.00,1794.00,1757.90,1788.75,23300,1491.41
2011-01-17,1816.00,1824.90,1766.00,1791.85,114100,1493.99
2011-01-14,1816.00,1848.00,1806.00,1818.90,37300,1516.55
2011-01-13,1836.60,1870.00,1820.00,1830.50,59000,1526.22
2011-01-12,1838.50,1883.00,1812.00,1872.70,66900,1561.40
2011-01-11,1810.00,1864.95,1806.00,1837.35,62200,1531.93
2011-01-10,1870.00,1875.00,1782.60,1804.60,64400,1504.62
2011-01-07,1858.55,1904.00,1843.00,1873.55,80300,1562.11
2011-01-06,1911.00,1920.00,1855.00,1886.30,70700,1572.74
2011-01-05,1975.10,1978.80,1895.30,1975.20,63200,1646.87
2011-01-04,1985.25,1988.00,1958.50,1975.20,53600,1646.87
